temperature_C,shear_modulus_Pa,sensitivity_variation,torque_rmse_off_Nm,torque_rmse_on_Nm,torque_max_off_Nm,torque_max_on_Nm,displacement_rmse_off_m,displacement_rmse_on_m,displacement_max_off_m,displacement_max_on_m
-20,79948000000,-0.0118577075098815,0.054761049609543,0,0.0910653714573515,0,6.03628971723048e-09,0,1.00381013374147e-08,0
0,79474000000,-0.00596421471172959,0.0275441037758501,0,0.0458047108244344,0,3.03541687268637e-09,0,5.04777331716675e-09,0
20,79000000000,0,0,0,0,0,0,0,0,0
40,78526000000,0.00603621730382287,0.0278771857056822,0,0.0463586123636155,0,3.07058750856648e-09,0,5.10626063696159e-09,0
60,78052000000,0.0121457489878543,0.0560935212317935,0,0.0932812169187116,0,6.17698748097424e-09,2.03741169681533e-21,1.02720759271989e-08,3.3881317890172e-21
80,77578000000,0.0183299389002036,0.0846552227680722,0,0.140778150932956,0,9.31985743036545e-09,0,1.54985392880031e-08,0
