temperature_C,torque_true_Nm,shear_modulus_Pa,torsional_sensitivity_rad_per_Nm,sensitivity_variation,grating_period_m,phase_rad,phase_error_rad,torque_off_Nm,torque_off_error_Nm,torque_on_Nm,torque_on_error_Nm,displacement_true_m,displacement_off_m,displacement_off_error_m,displacement_on_m,displacement_on_error_m,parameter_source
20,-4,79000000000,0.00037774116240165,0,2e-05,-3.32278481012658,0,-4,0,-4,0,-1.05767525472462e-05,-1.05767525472462e-05,0,-1.05767525472462e-05,0,simulation/default
20,-1,79000000000,0.00037774116240165,0,2e-05,-0.830696202531645,0,-1,0,-1,0,-2.64418813681155e-06,-2.64418813681155e-06,0,-2.64418813681155e-06,0,simulation/default
20,0,79000000000,0.00037774116240165,0,2e-05,0,0,0,0,0,0,0,0,0,0,0,simulation/default
20,1,79000000000,0.00037774116240165,0,2e-05,0.830696202531645,0,1,0,1,0,2.64418813681155e-06,2.64418813681155e-06,0,2.64418813681155e-06,0,simulation/default
20,4,79000000000,0.00037774116240165,0,2e-05,3.32278481012658,0,4,0,4,0,1.05767525472462e-05,1.05767525472462e-05,0,1.05767525472462e-05,0,simulation/default
20,8,79000000000,0.00037774116240165,0,2e-05,6.64556962025316,0,8,0,8,0,2.11535050944924e-05,2.11535050944924e-05,0,2.11535050944924e-05,0,simulation/default
40,-8,78526000000,0.000380021290142505,0.00603621730382287,2.00048e-05,-6.68407954349825,-0.0385099232450923,-8.04635861236362,-0.0463586123636155,-8,0,-2.12811922479803e-05,-2.12760859873433e-05,5.10626063696159e-09,-2.12811922479803e-05,0,simulation/default
40,-4,78526000000,0.000380021290142505,0.00603621730382287,2.00048e-05,-3.34203977174913,-0.0192549616225461,-4.02317930618181,-0.0231793061818077,-4,0,-1.06405961239901e-05,-1.06380429936717e-05,2.55313031848079e-09,-1.06405961239901e-05,0,simulation/default
40,-1,78526000000,0.000380021290142505,0.00603621730382287,2.00048e-05,-0.835509942937282,-0.00481374040563654,-1.00579482654545,-0.00579482654545194,-1,0,-2.66014903099754e-06,-2.65951074841792e-06,6.38282579620198e-10,-2.66014903099754e-06,0,simulation/default
40,0,78526000000,0.000380021290142505,0.00603621730382287,2.00048e-05,0,0,0,0,0,0,0,0,0,0,0,simulation/default
40,1,78526000000,0.000380021290142505,0.00603621730382287,2.00048e-05,0.835509942937282,0.00481374040563654,1.00579482654545,0.00579482654545194,1,0,2.66014903099754e-06,2.65951074841792e-06,-6.38282579620198e-10,2.66014903099754e-06,0,simulation/default
40,4,78526000000,0.000380021290142505,0.00603621730382287,2.00048e-05,3.34203977174913,0.0192549616225461,4.02317930618181,0.0231793061818077,4,0,1.06405961239901e-05,1.06380429936717e-05,-2.55313031848079e-09,1.06405961239901e-05,0,simulation/default
40,8,78526000000,0.000380021290142505,0.00603621730382287,2.00048e-05,6.68407954349825,0.0385099232450923,8.04635861236362,0.0463586123636155,8,0,2.12811922479803e-05,2.12760859873433e-05,-5.10626063696159e-09,2.12811922479803e-05,0,simulation/default
60,-8,78052000000,0.000382329111742561,0.0121457489878543,2.00096e-05,-6.72305797291507,-0.0774883526619048,-8.09328121691871,-0.0932812169187116,-8,0,-2.14104302575834e-05,-2.14001581816562e-05,1.02720759271989e-08,-2.14104302575834e-05,3.3881317890172e-21,simulation/default
60,-4,78052000000,0.000382329111742561,0.0121457489878543,2.00096e-05,-3.36152898645753,-0.0387441763309524,-4.04664060845936,-0.0466406084593558,-4,0,-1.07052151287917e-05,-1.07000790908281e-05,5.13603796359943e-09,-1.07052151287917e-05,1.6940658945086e-21,simulation/default
60,-1,78052000000,0.000382329111742561,0.0121457489878543,2.00096e-05,-0.840382246614383,-0.0096860440827381,-1.01166015211484,-0.011660152114839,-1,0,-2.67630378219793e-06,-2.67501977270703e-06,1.28400949089986e-09,-2.67630378219793e-06,4.2351647362715e-22,simulation/default
60,0,78052000000,0.000382329111742561,0.0121457489878543,2.00096e-05,0,0,0,0,0,0,0,0,0,0,0,simulation/default
60,1,78052000000,0.000382329111742561,0.0121457489878543,2.00096e-05,0.840382246614383,0.0096860440827381,1.01166015211484,0.011660152114839,1,0,2.67630378219793e-06,2.67501977270703e-06,-1.28400949089986e-09,2.67630378219793e-06,-4.2351647362715e-22,simulation/default
60,4,78052000000,0.000382329111742561,0.0121457489878543,2.00096e-05,3.36152898645753,0.0387441763309524,4.04664060845936,0.0466406084593558,4,0,1.07052151287917e-05,1.07000790908281e-05,-5.13603796359943e-09,1.07052151287917e-05,-1.6940658945086e-21,simulation/default
60,8,78052000000,0.000382329111742561,0.0121457489878543,2.00096e-05,6.72305797291507,0.0774883526619048,8.09328121691871,0.0932812169187116,8,0,2.14104302575834e-05,2.14001581816562e-05,-1.02720759271989e-08,2.14104302575834e-05,-3.3881317890172e-21,simulation/default
80,-8,77578000000,0.000384665134828564,0.0183299389002036,2.00144e-05,-6.7625134956326,-0.116943875379434,-8.14077815093296,-0.140778150932956,-8,0,-2.15412475503996e-05,-2.15257490111116e-05,1.54985392880031e-08,-2.15412475503996e-05,0,simulation/default
80,-4,77578000000,0.000384665134828564,0.0183299389002036,2.00144e-05,-3.3812567478163,-0.0584719376897169,-4.07038907546648,-0.070389075466478,-4,0,-1.07706237751998e-05,-1.07628745055558e-05,7.74926964400153e-09,-1.07706237751998e-05,0,simulation/default
80,-1,77578000000,0.000384665134828564,0.0183299389002036,2.00144e-05,-0.845314186954075,-0.0146179844224292,-1.01759726886662,-0.0175972688666195,-1,0,-2.69265594379995e-06,-2.69071862638895e-06,1.93731741100038e-09,-2.69265594379995e-06,0,simulation/default
80,0,77578000000,0.000384665134828564,0.0183299389002036,2.00144e-05,0,0,0,0,0,0,0,0,0,0,0,simulation/default
80,1,77578000000,0.000384665134828564,0.0183299389002036,2.00144e-05,0.845314186954075,0.0146179844224292,1.01759726886662,0.0175972688666195,1,0,2.69265594379995e-06,2.69071862638895e-06,-1.93731741100038e-09,2.69265594379995e-06,0,simulation/default
80,4,77578000000,0.000384665134828564,0.0183299389002036,2.00144e-05,3.3812567478163,0.0584719376897169,4.07038907546648,0.070389075466478,4,0,1.07706237751998e-05,1.07628745055558e-05,-7.74926964400153e-09,1.07706237751998e-05,0,simulation/default
80,8,77578000000,0.000384665134828564,0.0183299389002036,2.00144e-05,6.7625134956326,0.116943875379434,8.14077815093296,0.140778150932956,8,0,2.15412475503996e-05,2.15257490111116e-05,-1.54985392880031e-08,2.15412475503996e-05,0,simulation/default
