method,valid_cases,failed_cases,mean_rmse_m,median_rmse_m,worst_rmse_m,mean_robustness,worst_case
Patent 1/4,14,0,2.41938980916854e-06,2.80812294413086e-06,3.00935485973799e-06,0.256377177712341,snr_10dB
Patent 1/16,14,0,6.85906449382493e-07,7.12303628611926e-07,1.00723669030724e-06,0.499994505342933,snr_10dB
Patent 1/32,14,0,3.84128655593291e-07,3.59618788807775e-07,7.28462486008444e-07,0.637894227902372,snr_10dB
Traditional atan2,14,0,1.33430072500686e-06,3.64712328237987e-07,5.698328157195e-06,0.577622622581065,torque_neg1Nm
Existing improved,14,0,1.73048256929025e-06,1.47850808598809e-07,7.74794555223268e-06,0.565128144948625,torque_neg1Nm
